Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Etiquetas,Etiquetas,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Enlace a la incidencia interna (Relates),Enlace de incidencia saliente (Relates),Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Story Points),Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
RF-19 - Iniciar sesión remota de ejercicios,SICST-13,10010,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-19,RF-19 - Iniciar sesión remota de ejercicios. Fuente: EV-ENT-03. Caso de uso relacionado: CU-05. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0002f:,,,EV-ENT-03,Must,,,,,,Por hacer,,10004,SICST-3,Sesión remota e inteligencia artificial
RF-21 - Analizar movimiento del paciente,SICST-15,10011,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-21,RF-21 - Analizar movimiento del paciente. Fuente: EV-ENT-03. Caso de uso relacionado: CU-06. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0002n:,,,EV-ENT-03,Must,,,,,,Por hacer,,10004,SICST-3,Sesión remota e inteligencia artificial
RF-22 - Detectar errores de postura,SICST-16,10012,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-22,RF-22 - Detectar errores de postura. Fuente: EV-ENT-03. Caso de uso relacionado: CU-06. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0002v:,,,EV-ENT-03,Must,,,,,,Por hacer,,10004,SICST-3,Sesión remota e inteligencia artificial
CA2 RF-22 - Vincular detección con validación de repetición,SICST-27,10020,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que la detección de postura permite determinar si una repetición debe considerarse incorrecta.,,,,0,0,0,,0,0,0,,,,,,0|i0004n:,,,,,,,,,,Por hacer,,10012,SICST-16,RF-22 - Detectar errores de postura
CA1 RF-22 - Identificar errores posturales,SICST-26,10028,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que durante el análisis de movimiento los errores de postura quedan identificados.,,,,0,0,0,,0,0,0,,,,,,0|i0006f:,,,,,,,,,,Por hacer,,10012,SICST-16,RF-22 - Detectar errores de postura
Plan terapéutico y rutinas,SICST-2,10016,Epic,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,EPIC-02,PE4,"Agrupa plan terapéutico, catálogo de ejercicios, asignación de rutinas y guías visuales.",,,,0,0,0,,0,0,0,,,,,,0|i0003r:,,,,,,,,,,Por hacer,,,,
RF-23 - Contar repeticiones correctas,SICST-17,10017,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-23,RF-23 - Contar repeticiones correctas. Fuente: EV-ENT-03. Caso de uso relacionado: CU-06. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0003z:,,,EV-ENT-03,Must,,,,,,Por hacer,,10004,SICST-3,Sesión remota e inteligencia artificial
RF-28 - Generar alertas terapéuticas,SICST-18,10018,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:39 PM,09/ago/26 10:39 PM,,,0,PE4,RF-28,RF-28 - Generar alertas terapéuticas. Fuente: EV-ENT-03. Caso de uso relacionado: CU-08. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,SICST-32,,,,0|i00047:,,,EV-ENT-03,Should,,,,,,Por hacer,,10005,SICST-4,Seguimiento y alertas terapéuticas
CA1 RF-28 - Crear alerta con causa y fecha,SICST-28,10021,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,"Comprobar que ante dolor alto, fatiga extrema o incumplimiento se crea una alerta con causa y fecha.",,,,0,0,0,,0,0,0,,,,,,0|i0004v:,,,,,,,,,,Por hacer,,10018,SICST-18,RF-28 - Generar alertas terapéuticas
CA2 RF-28 - Mostrar alerta para seguimiento,SICST-29,10022,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que la alerta registrada queda visible para el seguimiento del fisioterapeuta.,,,,0,0,0,,0,0,0,,,,,,0|i00053:,,,,,,,,,,Por hacer,,10018,SICST-18,RF-28 - Generar alertas terapéuticas
"Acceso, pacientes y evaluación clínica",SICST-1,10023,Epic,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,EPIC-01,PE4,"Agrupa autenticación, registro del paciente y evaluación clínica básica.",,,,0,0,0,,0,0,0,,,,,,0|i0005b:,,,,,,,,,,Por hacer,,,,
RF-01 - Autenticar usuarios,SICST-5,10024,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:24 PM,09/ago/26 10:29 PM,,,0,PE4,RF-01,RF-01 - Autenticar usuarios. Fuente: EV-CUE-01. Caso de uso relacionado: CU-01. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,SICST-30,0|i0005j:,,,EV-CUE-01,Must,,,,,,Por hacer,,10023,SICST-1,"Acceso, pacientes y evaluación clínica"
CA1 RF-01 - Validar credenciales válidas,SICST-20,10013,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que un usuario con credenciales válidas accede al sistema y visualiza el panel correspondiente a su rol.,,,,0,0,0,,0,0,0,,,,,,0|i00033:,,,,,,,,,,Por hacer,,10024,SICST-5,RF-01 - Autenticar usuarios
CA2 RF-01 - Aplicar permisos por rol,SICST-21,10014,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,"Comprobar que, después de autenticarse, el sistema aplica los permisos asociados al rol del usuario.",,,,0,0,0,,0,0,0,,,,,,0|i0003b:,,,,,,,,,,Por hacer,,10024,SICST-5,RF-01 - Autenticar usuarios
RF-17 - Asignar rutina terapéutica,SICST-11,10025,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-17,"RF-17 - Asignar rutina terapéutica. Fuente: EV-ENT-01, EV-ENT-02. Caso de uso relacionado: CU-04. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.",,,,0,0,0,,0,0,0,,,,,,0|i0005r:,,,"EV-ENT-01, EV-ENT-02",Must,,,,,,Por hacer,,10016,SICST-2,Plan terapéutico y rutinas
CA2 RF-17 - Programar recordatorio según frecuencia,SICST-23,10015,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que el recordatorio se programa automáticamente según la frecuencia indicada en la rutina.,,,,0,0,0,,0,0,0,,,,,,0|i0003j:,,,,,,,,,,Por hacer,,10025,SICST-11,RF-17 - Asignar rutina terapéutica
CA1 RF-17 - Guardar rutina y mostrarla al paciente,SICST-22,10027,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que una rutina guardada queda disponible en el panel del paciente.,,,,0,0,0,,0,0,0,,,,,,0|i00067:,,,,,,,,,,Por hacer,,10025,SICST-11,RF-17 - Asignar rutina terapéutica
RF-20 - Capturar movimiento con cámara,SICST-14,10026,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:38 PM,09/ago/26 10:36 PM,,,0,PE4,RF-20,"RF-20 - Capturar movimiento con cámara. Fuente: EV-ENT-03, EV-CONS-01. Caso de uso relacionado: CU-05. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.",,,,0,0,0,,0,0,0,,SICST-31,,,,0|i0005z:,,,"EV-ENT-03, EV-CONS-01",Must,,,,,,Por hacer,,10004,SICST-3,Sesión remota e inteligencia artificial
CA2 RF-20 - Bloquear cámara sin autorización,SICST-25,10003,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,"Comprobar que, si el permiso no se concede o el consentimiento fue revocado, el sistema no activa la captura ni genera nuevas evidencias.",,,,0,0,0,,0,0,0,,,,,,0|i0000v:,,,,,,,,,,Por hacer,,10026,SICST-14,RF-20 - Capturar movimiento con cámara
CA1 RF-20 - Solicitar autorización antes de activar cámara,SICST-24,10019,Subtarea,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,criterio-aceptacion,PE4,Comprobar que la cámara solo se habilita cuando existe autorización/consentimiento vigente.,,,,0,0,0,,0,0,0,,,,,,0|i0004f:,,,,,,,,,,Por hacer,,10026,SICST-14,RF-20 - Capturar movimiento con cámara
TRZ-RF20 - CU-05 | CapturaMovimiento | Módulo Captura | CP-RF20-Camara,SICST-31,10030,Error,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,Medium,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:38 PM,09/ago/26 10:38 PM,,,,0,,,Elemento de trazabilidad hacia adelante de RF-20. Caso de uso: CU-05. Clase/Módulo: CapturaMovimiento / Módulo Captura. Caso de prueba: CP-RF20-Camara.,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,,,,,SICST-14,,,0|i0006n:,,,,,,,,,,Por hacer,09/ago/26 10:38 PM,,,
TRZ-RF28 - CU-08 | Alerta | Módulo Seguimiento | CP-RF28-Alertas,SICST-32,10031,Error,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,Medium,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:39 PM,09/ago/26 10:40 PM,,,,0,,,{{Elemento de trazabilidad hacia adelante de RF-28. Caso de uso: CU-08. Clase/Módulo: Alerta / Módulo Seguimiento. Caso de prueba: CP-RF28-Alertas.}},,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,,,,,SICST-18,,,0|i0006v:,,,,,,,,,,Por hacer,09/ago/26 10:39 PM,,,
